frame,t_mono,time_boot_ms,t_unix_usec,lat,lng,alt_msl,alt_agl,yaw,pitch,roll,nsats,fix_type,lat_gpi_ms,lat_att_ms,det_idx,cx,cy,w,h,bearing_px,bearing_py,conf
40,925.0241,934803.1,1785688400752850,-22.9780376,-43.2321933,38.62,-0.13,-33.68,0.14,-0.67,16,3,-37.8,-1.8,,,,,,,,
41,925.0955,934874.9,1785688400824236,-22.9780376,-43.2321933,38.6,-0.15,-33.68,0.14,-0.67,16,3,-62.7,-22.1,,,,,,,,
42,925.2026,934983.2,1785688400931298,-22.9780376,-43.2321933,38.58,-0.17,-33.68,0.14,-0.68,16,3,-58.2,-17.2,,,,,,,,
43,925.3097,935087.9,1785688401038434,-22.9780376,-43.23219334790556,38.56,-0.19,-33.68,0.14,-0.68,16,3,-53.2,-6.9,,,,,,,,
44,925.4168,935195.7,1785688401145525,-22.9780376,-43.2321934,38.54,-0.21,-33.68,0.13,-0.68,16,3,-42.9,-1.9,,,,,,,,
45,925.4882,935268.2,1785688401216962,-22.978037571822355,-43.2321934,38.52,-0.23,-33.68,0.13,-0.68,16,3,-72.8,-32.2,,,,,,,,
46,925.5953,935375.1,1785688401324000,-22.9780375,-43.2321934,38.49,-0.26,-33.68,0.13,-0.68,16,3,-63.2,-22.2,,,,,,,,
47,925.7024,935483.2,1785688401431118,-22.9780375,-43.2321934,38.47,-0.28,-33.68,0.13,-0.68,16,3,-57.7,-17.1,,,,,,,,
48,925.8106,935584.2,1785688401539287,-22.9780375,-43.2321934,38.45,-0.31,-33.68,0.14,-0.68,16,3,-63.8,-6.9,,,,,,,,
49,925.9166,935689.8,1785688401641948,-22.978037450152815,-43.2321934,38.43,-0.32,-33.68,0.14,-0.68,16,3,-42.5,-1.9,,,,,,,,
50,925.9881,935768.3,1785688401713411,-22.9780374,-43.2321934,38.41,-0.34,-33.68,0.14,-0.69,16,3,-73.3,-32.3,,,,,,,,
51,926.0951,935873.2,1785688401820389,-22.9780374,-43.2321934,38.39,-0.36,-33.68,0.13,-0.69,16,3,-67.9,-22.2,,,,,,,,
52,926.2022,935980.3,1785688401927542,-22.9780374,-43.2321934,38.38,-0.37,-33.68,0.14,-0.69,16,3,-58.1,-17.1,,,,,,,,
53,926.3093,936087.9,1785688402034628,-22.9780374,-43.2321934,38.36,-0.39,-33.68,0.15,-0.69,17,3,-53.2,-6.9,,,,,,,,
54,926.4164,936195.7,1785688402141684,-22.9780374,-43.2321934,38.34,-0.41,-33.68,0.15,-0.7,17,3,-42.9,-1.9,,,,,,,,
55,926.5234,936303.2,1785688402248726,-22.9780374,-43.232193463151326,38.33,-0.42,-33.68,0.15,-0.7,17,3,-37.4,-1.9,,,,,,,,
56,926.5949,936373.3,1785688402320202,-22.9780374,-43.2321935,38.33,-0.42,-33.68,0.14,-0.7,17,3,-68.1,-22.1,,,,,,,,
57,926.7021,936480.4,1785688402427382,-22.9780374,-43.2321935,38.32,-0.43,-33.68,0.14,-0.7,17,3,-57.6,-17.0,,,,,,,,
58,926.8091,936583.6,1785688402534412,-22.9780374,-43.2321935,38.31,-0.45,-33.68,0.14,-0.7,17,3,-63.8,-6.9,,,,,,,,
59,926.9162,936690.5,1785688402643244,-22.9780374,-43.2321935,38.29,-0.46,-33.68,0.14,-0.7,17,3,-42.5,-1.8,,,,,,,,
60,926.9877,936768.3,1785688402714723,-22.9780374,-43.232193528308194,38.27,-0.48,-33.68,0.14,-0.71,17,3,-73.4,-32.3,,,,,,,,
61,927.0947,936873.2,1785688402821749,-22.9780374,-43.2321936,38.25,-0.5,-33.68,0.15,-0.71,17,3,-67.8,-22.1,,,,,,,,
62,927.2018,936980.4,1785688402928828,-22.9780374,-43.2321936,38.22,-0.53,-33.68,0.15,-0.71,17,3,-58.1,-17.1,,,,,,,,
63,927.3089,937087.9,1785688403035928,-22.9780374,-43.2321936,38.2,-0.56,-33.68,0.15,-0.71,18,3,-53.3,-6.9,,,,,,,,
64,927.416,937195.6,1785688403143055,-22.9780374,-43.2321936,38.17,-0.58,-33.68,0.15,-0.71,18,3,-43.0,-1.9,,,,,,,,
65,927.4875,937268.0,1785688403214581,-22.9780374,-43.2321936,38.15,-0.6,-33.68,0.15,-0.71,18,3,-73.3,-32.7,,,,,,,,
66,927.5945,937373.0,1785688403321567,-22.9780374,-43.2321936,38.12,-0.63,-33.68,0.16,-0.71,18,3,-68.3,-22.1,,,,,,,,
67,927.7016,937480.2,1785688403428628,-22.9780374,-43.232193640230584,38.11,-0.64,-33.68,0.16,-0.71,18,3,-57.6,-17.0,,,,,,,,
68,927.8087,937583.7,1785688403535755,-22.9780374,-43.2321937,38.1,-0.66,-33.68,0.16,-0.72,18,3,-63.8,-6.9,,,,,,,,
69,927.916,937690.4,1785688403644627,-22.9780374,-43.2321937,38.09,-0.66,-33.68,0.16,-0.72,18,3,-42.6,-1.9,,,,,,,,
70,928.023,937803.0,1785688403751630,-22.9780374,-43.2321937,38.1,-0.65,-33.68,0.16,-0.72,18,3,-37.8,-1.8,,,,,,,,
71,928.0943,937873.0,1785688403822966,-22.9780374,-43.2321937,38.11,-0.64,-33.68,0.16,-0.72,18,3,-68.3,-22.1,,,,,,,,
72,928.2019,937980.3,1785688403930569,-22.978037359706548,-43.2321937,38.13,-0.62,-33.68,0.16,-0.71,18,3,-58.3,-17.1,,,,,,,,
73,928.3099,938090.6,1785688404038557,-22.9780373,-43.23219364937263,38.16,-0.6,-33.68,0.16,-0.71,17,3,-48.5,-7.1,,,,,,,,
74,928.4156,938197.2,1785688404144299,-22.9780373,-43.2321936,38.18,-0.57,-33.68,0.16,-0.7,17,3,-42.9,-1.9,,,,,,,,
75,928.4871,938268.2,1785688404215808,-22.978037271808674,-43.2321936,38.2,-0.55,-33.68,0.15,-0.7,17,3,-72.9,-32.3,,,,,,,,
76,928.5941,938373.3,1785688404322820,-22.9780372,-43.2321936,38.23,-0.52,-33.68,0.15,-0.7,17,3,-68.2,-22.1,,,,,,,,
77,928.7012,938480.3,1785688404429904,-22.97803715969651,-43.2321936,38.26,-0.49,-33.69,0.15,-0.7,17,3,-57.6,-17.1,,,,,,,,
78,928.8084,938583.7,1785688404537042,-22.9780371,-43.2321936,38.29,-0.46,-33.69,0.15,-0.69,17,3,-63.8,-12.0,,,,,,,,
79,928.9154,938687.6,1785688404645521,-22.9780371,-43.2321936,38.33,-0.42,-33.69,0.16,-0.69,17,3,-47.6,-1.8,,,,,,,,
80,929.0225,938801.2,1785688404752564,-22.97803703884246,-43.2321936,38.37,-0.38,-33.69,0.16,-0.69,17,3,-37.8,-1.8,,,,,,,,
81,929.094,938873.2,1785688404824039,-22.978037,-43.2321936,38.4,-0.35,-33.69,0.16,-0.69,17,3,-67.8,-22.1,,,,,,,,
82,929.2011,938980.4,1785688404931209,-22.978037,-43.23219355955576,38.43,-0.32,-33.69,0.16,-0.68,17,3,-58.0,-17.0,,,,,,,,
83,929.3081,939087.9,1785688405038222,-22.978037,-43.232193452064024,38.46,-0.29,-33.69,0.17,-0.68,17,3,-53.2,-12.0,,,,,,,,
84,929.4152,939192.9,1785688405145256,-22.97803694706643,-43.2321934,38.5,-0.25,-33.69,0.17,-0.67,17,3,-47.9,-1.8,,,,,,,,
85,929.5222,939301.3,1785688405252309,-22.9780369,-43.2321934,38.53,-0.22,-33.69,0.17,-0.67,17,3,-37.4,-1.9,,,,,,,,
86,929.5938,939373.4,1785688405323853,-22.9780369,-43.2321934,38.56,-0.19,-33.69,0.17,-0.67,17,3,-68.1,-22.1,,,,,,,,
87,929.7008,939480.3,1785688405430927,-22.978036859672486,-43.232193359672486,38.6,-0.15,-33.69,0.16,-0.68,17,3,-57.6,-17.1,,,,,,,,
88,929.8079,939583.6,1785688405537987,-22.9780368,-43.2321933,38.63,-0.12,-33.69,0.16,-0.68,17,3,-63.8,-12.1,,,,,,,,
89,929.9151,939687.6,1785688405644252,-22.9780368,-43.23219325238016,38.66,-0.09,-33.69,0.16,-0.68,17,3,-47.7,-1.9,,,,,,,,
